hours-per-week,capital-loss,capital-gain,sex,race,relationship,occupation,marital-status,education-num,education,fnlwgt,workclass,age,income
25,0,4064,Female,White,Wife,Sales,Married-civ-spouse,10,Some-college,377869,Private,28,<=50K
40,0,0,Female,White,Own-child,Machine-op-inspct,Never-married,9,HS-grad,102864,Private,36,<=50K
50,0,0,Male,White,Husband,Handlers-cleaners,Married-civ-spouse,5,9th,95647,Private,53,<=50K
50,0,0,Male,White,Husband,Sales,Married-civ-spouse,10,Some-college,303090,Self-emp-inc,56,<=50K
40,0,0,Male,Black,Husband,Craft-repair,Married-civ-spouse,11,Assoc-voc,197371,Local-gov,49,>50K
56,0,0,Male,White,Husband,Sales,Married-civ-spouse,10,Some-college,247552,Private,55,<=50K
41,0,0,Male,White,Not-in-family,Craft-repair,Never-married,9,HS-grad,102632,Private,22,<=50K
40,0,0,Female,White,Own-child,Other-service,Never-married,10,Some-college,199915,Private,21,<=50K
60,0,0,Male,White,Husband,Exec-managerial,Married-civ-spouse,13,Bachelors,118853,Private,40,<=50K
50,0,0,Male,White,Husband,Prof-specialty,Married-civ-spouse,13,Bachelors,267989,State-gov,29,>50K
35,0,0,Male,Black,Own-child,Other-service,Never-married,10,Some-college,301606,Private,19,<=50K
40,0,0,Female,White,Wife,Exec-managerial,Married-civ-spouse,13,Bachelors,287828,Private,47,>50K
28,1719,0,Female,White,Own-child,Adm-clerical,Never-married,10,Some-college,111697,Private,20,<=50K
40,0,0,Male,White,Husband,Adm-clerical,Married-civ-spouse,12,Assoc-acdm,114937,Private,31,>50K
40,0,0,Male,White,Not-in-family,Craft-repair,Divorced,10,Some-college,365739,Private,39,<=50K
60,0,0,Female,White,Not-in-family,Sales,Never-married,12,Assoc-acdm,69621,Private,28,<=50K
40,1762,0,Female,White,Not-in-family,Other-service,Never-married,9,HS-grad,43323,Private,24,<=50K
35,0,4386,Male,White,Husband,Craft-repair,Married-civ-spouse,9,HS-grad,120985,Self-emp-not-inc,38,<=50K
50,0,0,Male,White,Husband,Sales,Married-civ-spouse,13,Bachelors,254202,Private,37,<=50K
36,0,0,Female,Black,Not-in-family,Tech-support,Divorced,12,Assoc-acdm,146195,Private,46,<=50K
60,0,0,Male,White,Husband,Craft-repair,Married-civ-spouse,9,HS-grad,56920,Self-emp-not-inc,43,<=50K
35,0,0,Female,White,Wife,Adm-clerical,Married-civ-spouse,11,Assoc-voc,163127,Private,27,<=50K
20,0,0,Male,White,Own-child,Sales,Never-married,10,Some-college,34310,Private,20,<=50K
40,0,0,Male,Asian-Pac-Islander,Husband,Craft-repair,Married-civ-spouse,10,Some-college,81973,Private,49,>50K
40,0,0,Male,White,Husband,Craft-repair,Married-civ-spouse,9,HS-grad,66614,Self-emp-inc,61,<=50K
40,0,0,Female,White,Own-child,Sales,Never-married,10,Some-college,232782,Private,27,<=50K
40,1564,0,Female,White,Not-in-family,Prof-specialty,Never-married,11,Assoc-voc,196584,Private,45,>50K
40,0,0,Male,White,Other-relative,Tech-support,Never-married,10,Some-college,105376,Private,70,<=50K
30,0,0,Female,Black,Unmarried,Transport-moving,Never-married,9,HS-grad,185814,Private,31,<=50K
24,0,0,Male,White,Husband,Other-service,Married-civ-spouse,10,Some-college,175374,Private,22,<=50K
24,0,0,Female,White,Unmarried,Other-service,Widowed,9,HS-grad,108293,Private,36,<=50K
40,2179,0,Male,White,Husband,Craft-repair,Married-civ-spouse,7,11th,181232,Private,64,<=50K
40,0,0,Female,White,Not-in-family,Adm-clerical,Never-married,9,HS-grad,198183,Private,34,<=50K
35,0,0,Male,White,Own-child,Craft-repair,Never-married,9,HS-grad,296158,Private,21,<=50K
46,0,0,Male,White,Husband,Craft-repair,Married-civ-spouse,9,HS-grad,187715,Private,48,<=50K
40,0,0,Male,White,Not-in-family,Handlers-cleaners,Never-married,13,Bachelors,214542,Private,23,<=50K
2,1816,0,Male,Black,Unmarried,Sales,Separated,10,Some-college,494223,Self-emp-not-inc,71,<=50K
60,0,0,Male,White,Not-in-family,Craft-repair,Divorced,9,HS-grad,191535,Private,29,<=50K
50,0,0,Male,Black,Other-relative,Other-service,Separated,13,Bachelors,228456,Private,42,<=50K
40,0,0,Female,White,Unmarried,Other-service,Never-married,9,HS-grad,252752,Private,25,<=50K
40,0,0,Female,Asian-Pac-Islander,Unmarried,Exec-managerial,Divorced,14,Masters,78374,Self-emp-inc,44,<=50K
40,0,0,Male,White,Husband,Sales,Married-civ-spouse,14,Masters,201080,Self-emp-not-inc,45,>50K
42,0,0,Male,White,Not-in-family,Exec-managerial,Never-married,12,Assoc-acdm,235485,Federal-gov,39,<=50K
40,0,0,Male,White,Unmarried,Protective-serv,Widowed,14,Masters,102628,State-gov,46,<=50K
16,0,0,Male,White,Own-child,Handlers-cleaners,Never-married,7,11th,25828,Private,18,<=50K
20,0,0,Female,White,Not-in-family,Prof-specialty,Widowed,11,Assoc-voc,54826,Local-gov,66,<=50K
40,1980,0,Male,White,Not-in-family,Other-service,Never-married,9,HS-grad,124953,Private,27,<=50K
40,0,0,Male,White,Husband,Protective-serv,Married-civ-spouse,9,HS-grad,175325,State-gov,28,<=50K
40,1977,0,Male,White,Husband,Sales,Married-civ-spouse,10,Some-college,96062,Private,51,>50K
50,0,0,Male,White,Not-in-family,Craft-repair,Never-married,13,Bachelors,428030,Private,27,<=50K
40,0,0,Male,White,Husband,Prof-specialty,Married-civ-spouse,13,Bachelors,149624,State-gov,28,>50K
25,0,0,Female,White,Unmarried,Sales,Married-spouse-absent,9,HS-grad,253814,Private,27,<=50K
40,0,0,Male,Black,Own-child,Craft-repair,Never-married,9,HS-grad,312956,Private,21,<=50K
40,0,0,Male,Black,Not-in-family,Handlers-cleaners,Never-married,9,HS-grad,483777,Private,34,<=50K
12,0,0,Male,White,Own-child,Other-service,Never-married,9,HS-grad,183930,Private,18,<=50K
65,0,0,Male,White,Husband,Prof-specialty,Married-civ-spouse,13,Bachelors,37274,Private,33,<=50K
38,0,0,Male,Black,Husband,Exec-managerial,Married-civ-spouse,10,Some-college,181344,Local-gov,44,>50K
40,0,0,Female,White,Not-in-family,Adm-clerical,Divorced,10,Some-college,114580,Private,43,<=50K
45,0,0,Male,Black,Not-in-family,Craft-repair,Never-married,10,Some-college,633742,Private,30,<=50K
42,0,0,Male,White,Husband,Adm-clerical,Married-civ-spouse,10,Some-college,29054,Federal-gov,37,>50K
40,0,0,Male,Black,Husband,Adm-clerical,Married-civ-spouse,9,HS-grad,304030,Private,34,<=50K
40,0,0,Female,White,Not-in-family,Exec-managerial,Divorced,13,Bachelors,143129,Self-emp-not-inc,41,<=50K
50,0,0,Female,White,Wife,Prof-specialty,Married-civ-spouse,14,Masters,99928,Private,31,<=50K
1,0,0,Male,White,Husband,Prof-specialty,Married-civ-spouse,16,Doctorate,109567,State-gov,58,>50K
28,0,0,Female,Black,Not-in-family,Machine-op-inspct,Divorced,10,Some-college,155222,Private,38,<=50K
40,0,0,Male,White,Husband,Machine-op-inspct,Married-civ-spouse,10,Some-college,159567,Private,24,<=50K
40,0,0,Male,Black,Husband,Craft-repair,Married-civ-spouse,13,Bachelors,523910,Local-gov,41,<=50K
45,0,0,Male,White,Husband,Tech-support,Married-civ-spouse,10,Some-college,120939,Private,47,<=50K
24,0,0,Male,White,Husband,Tech-support,Married-civ-spouse,13,Bachelors,130760,Federal-gov,41,<=50K
40,0,0,Male,White,Not-in-family,Craft-repair,Divorced,10,Some-college,99374,Private,36,<=50K
55,0,14084,Female,White,Not-in-family,Exec-managerial,Never-married,14,Masters,56795,Federal-gov,40,>50K
40,0,7298,Male,White,Other-relative,Prof-specialty,Married-civ-spouse,14,Masters,138992,Private,35,>50K
40,0,0,Male,White,Not-in-family,Sales,Never-married,9,HS-grad,32921,Self-emp-not-inc,24,<=50K
40,1876,0,Female,White,Not-in-family,Prof-specialty,Never-married,14,Masters,397317,Private,26,<=50K
50,0,0,Male,White,Husband,Exec-managerial,Married-civ-spouse,13,Bachelors,259323,Private,51,>50K
40,1340,0,Female,White,Not-in-family,Prof-specialty,Never-married,10,Some-college,254817,Local-gov,42,<=50K
35,0,0,Female,White,Unmarried,Adm-clerical,Divorced,9,HS-grad,48211,State-gov,37,<=50K
40,0,0,Female,White,Own-child,Sales,Never-married,7,11th,140164,Private,18,<=50K
36,0,7298,Male,Black,Husband,Other-service,Married-civ-spouse,13,Bachelors,128757,Private,36,>50K
60,0,0,Male,White,Not-in-family,Craft-repair,Divorced,9,HS-grad,36270,Private,35,<=50K
35,0,15024,Female,White,Wife,Sales,Married-civ-spouse,9,HS-grad,210563,Self-emp-inc,58,>50K
12,0,0,Female,White,Own-child,Sales,Never-married,7,11th,65368,Private,17,<=50K
40,0,0,Male,Black,Husband,Transport-moving,Married-civ-spouse,9,HS-grad,160943,Local-gov,44,<=50K
40,0,0,Male,White,Husband,Craft-repair,Married-civ-spouse,9,HS-grad,208358,Private,37,>50K
40,0,0,Female,Amer-Indian-Eskimo,Not-in-family,Sales,Never-married,10,Some-college,153790,Private,35,<=50K
40,0,0,Male,Asian-Pac-Islander,Husband,Craft-repair,Married-civ-spouse,9,HS-grad,85815,Private,60,<=50K
40,0,0,Male,White,Husband,Machine-op-inspct,Married-civ-spouse,4,7th-8th,125417,Self-emp-inc,54,>50K
60,0,0,Male,Black,Not-in-family,Exec-managerial,Never-married,13,Bachelors,635913,Private,37,>50K
40,0,0,Female,White,Not-in-family,Sales,Divorced,12,Assoc-acdm,313321,Private,50,<=50K
55,0,0,Male,White,Husband,Prof-specialty,Married-civ-spouse,13,Bachelors,109434,Private,45,<=50K
40,0,0,Male,White,Not-in-family,Craft-repair,Never-married,6,10th,255004,Private,25,<=50K
40,0,0,Male,White,Husband,Handlers-cleaners,Married-civ-spouse,10,Some-college,197860,Private,31,<=50K
40,2206,0,Male,Black,Not-in-family,Other-service,Never-married,9,HS-grad,51744,Private,90,<=50K
20,0,0,Male,Black,Husband,Adm-clerical,Married-civ-spouse,9,HS-grad,176681,Private,54,<=50K
35,0,0,Female,White,Not-in-family,Machine-op-inspct,Never-married,1,Preschool,140359,Local-gov,53,<=50K
40,0,0,Female,White,Own-child,Sales,Never-married,9,HS-grad,243313,Private,18,<=50K
50,0,1409,Male,White,Husband,Farming-fishing,Married-civ-spouse,9,HS-grad,167687,Self-emp-not-inc,66,<=50K
40,0,0,Female,White,Not-in-family,Adm-clerical,Divorced,9,HS-grad,176796,Private,65,<=50K
40,0,3674,Male,Black,Not-in-family,Transport-moving,Separated,7,11th,538583,Private,35,<=50K
38,0,0,Female,Black,Unmarried,Sales,Divorced,9,HS-grad,130408,Private,41,<=50K
42,0,0,Male,White,Not-in-family,Adm-clerical,Never-married,10,Some-college,159732,Private,25,<=50K
40,0,0,Female,Other,Other-relative,Craft-repair,Divorced,10,Some-college,110978,Private,33,<=50K
55,0,0,Male,White,Not-in-family,Prof-specialty,Never-married,15,Prof-school,76714,Private,28,>50K
40,0,0,Male,White,Husband,Other-service,Married-civ-spouse,9,HS-grad,268700,State-gov,59,<=50K
38,0,0,Female,White,Not-in-family,Adm-clerical,Never-married,10,Some-college,170525,State-gov,40,<=50K
70,0,0,Male,White,Husband,Exec-managerial,Married-civ-spouse,14,Masters,115076,Local-gov,38,>50K
40,0,0,Male,White,Own-child,Transport-moving,Never-married,9,HS-grad,115458,Private,23,<=50K
40,0,0,Male,White,Husband,Prof-specialty,Married-civ-spouse,13,Bachelors,347890,Private,40,>50K
20,0,0,Female,White,Wife,Other-service,Married-civ-spouse,9,HS-grad,196001,Self-emp-not-inc,41,<=50K
50,0,0,Male,White,Husband,Protective-serv,Married-civ-spouse,12,Assoc-acdm,273905,State-gov,24,<=50K
40,1741,0,Male,White,Not-in-family,Craft-repair,Divorced,10,Some-college,179488,Private,38,<=50K
45,0,0,Male,White,Husband,Adm-clerical,Married-civ-spouse,9,HS-grad,236596,Private,58,>50K
34,0,0,Female,White,Not-in-family,Other-service,Never-married,9,HS-grad,183916,Private,32,<=50K
60,1977,0,Male,White,Husband,Tech-support,Married-civ-spouse,12,Assoc-acdm,207578,Private,40,>50K
40,0,0,Female,White,Wife,Prof-specialty,Married-civ-spouse,15,Prof-school,112763,Private,41,>50K
40,0,0,Female,Black,Wife,Adm-clerical,Married-civ-spouse,13,Bachelors,390781,Private,42,<=50K
30,0,0,Female,Black,Unmarried,Other-service,Widowed,6,10th,171328,Local-gov,59,<=50K
40,0,0,Male,White,Own-child,Adm-clerical,Never-married,10,Some-college,27382,Local-gov,19,<=50K
20,0,0,Male,White,Not-in-family,Transport-moving,Never-married,10,Some-college,259014,Private,58,<=50K
40,0,0,Female,White,Own-child,Other-service,Never-married,9,HS-grad,117789,Private,20,<=50K
30,0,0,Female,White,Not-in-family,Other-service,Separated,9,HS-grad,172579,Private,32,<=50K
45,0,0,Female,White,Not-in-family,Exec-managerial,Widowed,11,Assoc-voc,187666,Private,45,<=50K
40,0,0,Male,White,Not-in-family,Craft-repair,Divorced,4,7th-8th,204518,Private,50,<=50K
40,0,0,Female,White,Own-child,Prof-specialty,Divorced,13,Bachelors,150042,Private,36,<=50K
60,0,0,Male,White,Husband,Sales,Married-civ-spouse,9,HS-grad,98092,Private,45,<=50K
12,0,0,Male,White,Own-child,Other-service,Never-married,7,11th,245918,Private,17,<=50K
40,0,4064,Male,White,Husband,Sales,Married-civ-spouse,10,Some-college,146013,Private,59,<=50K
40,0,0,Male,White,Husband,Craft-repair,Married-civ-spouse,7,11th,378322,Private,26,<=50K
40,0,0,Male,White,Husband,Exec-managerial,Married-civ-spouse,9,HS-grad,21174,Private,64,>50K
45,0,0,Female,White,Not-in-family,Prof-specialty,Never-married,13,Bachelors,185480,Private,33,<=50K
40,0,0,Female,White,Wife,Craft-repair,Married-civ-spouse,9,HS-grad,222205,Private,33,>50K
40,0,0,Male,White,Husband,Exec-managerial,Married-civ-spouse,9,HS-grad,69867,Private,61,>50K
24,0,1055,Male,White,Own-child,Other-service,Never-married,5,9th,191260,Private,17,<=50K
98,0,2407,Male,White,Husband,Farming-fishing,Married-civ-spouse,14,Masters,30653,Self-emp-not-inc,50,<=50K
35,0,0,Male,White,Own-child,Prof-specialty,Never-married,14,Masters,209109,Local-gov,27,<=50K
40,0,0,Female,White,Own-child,Prof-specialty,Divorced,9,HS-grad,70377,Private,30,<=50K
40,0,0,Male,Black,Husband,Handlers-cleaners,Married-civ-spouse,9,HS-grad,477983,Private,43,<=50K
40,0,7298,Male,White,Husband,Craft-repair,Married-civ-spouse,10,Some-college,170924,Private,44,>50K
40,0,0,Female,White,Not-in-family,Exec-managerial,Never-married,10,Some-college,190174,Private,35,<=50K
40,0,0,Female,White,Own-child,Tech-support,Never-married,10,Some-college,193787,Private,25,<=50K
48,0,7298,Female,White,Wife,Machine-op-inspct,Married-civ-spouse,10,Some-college,279472,Private,24,>50K
40,0,5178,Male,White,Husband,Craft-repair,Married-civ-spouse,10,Some-college,97688,Local-gov,42,>50K
45,0,0,Female,Black,Unmarried,Sales,Divorced,12,Assoc-acdm,175413,Private,34,<=50K
42,0,0,Female,White,Not-in-family,Prof-specialty,Divorced,13,Bachelors,173960,Private,60,<=50K
40,0,0,Male,White,Own-child,Handlers-cleaners,Never-married,9,HS-grad,205759,Private,21,<=50K
40,0,15024,Male,White,Husband,Sales,Married-civ-spouse,14,Masters,425161,Federal-gov,57,>50K
60,0,0,Male,White,Husband,Prof-specialty,Married-civ-spouse,15,Prof-school,220531,Private,41,>50K
45,0,0,Male,White,Not-in-family,Other-service,Divorced,10,Some-college,176609,Private,50,<=50K
40,0,0,Female,White,Not-in-family,Exec-managerial,Never-married,13,Bachelors,371987,Private,25,<=50K
45,0,0,Male,White,Husband,Prof-specialty,Married-civ-spouse,13,Bachelors,200352,Private,36,<=50K
40,0,0,Female,White,Not-in-family,Prof-specialty,Divorced,9,HS-grad,127595,Private,31,<=50K
56,0,0,Male,White,Not-in-family,Protective-serv,Never-married,13,Bachelors,220419,Local-gov,29,<=50K
45,0,0,Male,White,Own-child,Sales,Never-married,10,Some-college,231931,Private,21,<=50K
40,0,0,Female,Black,Unmarried,Tech-support,Never-married,13,Bachelors,248402,Private,27,<=50K
16,0,0,Male,White,Husband,Transport-moving,Married-civ-spouse,9,HS-grad,111095,Private,65,<=50K
60,0,0,Female,White,Not-in-family,Sales,Divorced,13,Bachelors,57424,Self-emp-inc,37,<=50K
40,0,0,Male,White,Own-child,Craft-repair,Never-married,9,HS-grad,278130,Private,24,<=50K
80,0,0,Male,White,Not-in-family,Sales,Divorced,9,HS-grad,169469,Private,38,<=50K
40,0,7688,Male,White,Husband,Adm-clerical,Married-civ-spouse,13,Bachelors,146268,Private,48,>50K
25,0,0,Female,Asian-Pac-Islander,Not-in-family,Other-service,Never-married,10,Some-college,153718,Private,21,<=50K
45,0,0,Male,White,Husband,Transport-moving,Married-civ-spouse,9,HS-grad,217460,Private,31,>50K
40,0,4386,Male,White,Husband,Sales,Married-civ-spouse,9,HS-grad,238638,Private,55,>50K
40,0,0,Female,White,Not-in-family,Adm-clerical,Divorced,9,HS-grad,173321,Private,43,<=50K
45,0,0,Male,White,Not-in-family,Tech-support,Never-married,12,Assoc-acdm,193945,Private,26,<=50K
33,0,0,Female,White,Not-in-family,Prof-specialty,Never-married,12,Assoc-acdm,83082,Private,46,<=50K
40,0,0,Male,White,Husband,Adm-clerical,Married-civ-spouse,12,Assoc-acdm,193815,Private,35,>50K
54,0,0,Male,White,Husband,Farming-fishing,Married-civ-spouse,10,Some-college,34987,Self-emp-inc,41,>50K
40,0,0,Male,White,Not-in-family,Sales,Never-married,13,Bachelors,59306,Private,26,<=50K
40,0,0,Female,Black,Not-in-family,Prof-specialty,Divorced,13,Bachelors,205607,Self-emp-not-inc,36,>50K
15,0,0,Male,White,Own-child,Sales,Never-married,10,Some-college,199698,Private,22,<=50K
40,0,0,Male,White,Not-in-family,Machine-op-inspct,Never-married,10,Some-college,191954,Private,24,<=50K
