elevation,aspect,slope,hori_distance_hyd,vert_distance,hori_distance_road,hillshade_9am,hillshade_noon,hillshade_3pm,hori_distance_fire,wild_area,soil_type,cover_type
2856,53,28,335,195,350,223,169,63,1530,0,28,5
3276,354,10,42,6,4055,204,223,157,1719,0,22,1
3072,329,17,60,13,1905,178,218,179,1914,0,28,1
2764,55,31,85,10,175,222,159,48,1458,0,29,5
2740,54,29,0,0,134,222,165,57,1456,0,29,5
2747,56,30,67,-6,150,224,162,51,1492,0,29,5
3139,34,3,324,9,2509,219,232,149,1504,0,28,1
2816,75,27,201,-20,242,241,177,49,1691,0,29,2
3242,16,7,242,15,5940,214,226,148,999,0,21,1
2740,76,31,150,87,170,240,165,32,1738,0,29,5
3285,308,12,90,51,4702,188,232,185,700,0,28,2
3250,308,6,127,5,5562,204,236,171,573,0,37,1
2725,81,27,162,81,182,244,180,47,1945,0,29,5
3206,304,7,124,-7,3302,201,237,175,1410,0,21,1
3158,282,6,216,-2,3542,204,240,175,1366,0,28,1
3113,345,11,268,11,1987,197,222,163,2598,0,28,1
3122,32,9,242,-6,2095,218,221,138,2554,0,28,1
3166,8,5,30,0,3721,214,230,153,1543,0,22,1
3217,313,16,240,74,4696,175,226,191,990,0,21,1
3222,25,9,0,0,3032,216,221,141,1974,0,21,1
3275,278,8,60,10,5461,197,242,184,313,0,37,2
2699,94,31,90,51,108,250,177,32,2407,0,29,5
2823,80,33,270,-95,300,242,161,22,2510,0,29,5
3197,290,9,60,9,3690,195,239,183,1651,0,22,1
3142,48,17,277,13,1834,224,200,104,3108,0,28,2
3235,255,5,212,21,4871,209,243,172,618,0,22,1
2635,45,8,30,9,955,223,223,135,1624,2,32,2
2770,69,31,95,-35,190,234,162,35,2311,0,29,5
3301,219,6,402,85,3337,213,246,169,1969,0,28,1
2748,85,33,150,93,150,245,164,21,2220,0,29,5
2786,90,33,210,135,210,248,170,24,2191,0,29,5
3246,18,9,120,11,4333,213,221,144,972,0,38,1
3251,167,13,210,33,2813,230,244,144,2493,0,28,7
3242,151,2,150,32,2580,222,239,152,2731,0,28,7
3252,37,18,124,49,5006,216,198,111,60,0,37,1
3190,172,13,270,52,2024,228,246,147,2781,0,28,7
3198,162,14,192,-11,2213,233,243,138,2864,0,28,7
3214,166,9,60,0,2895,228,244,148,2430,0,28,7
3294,25,10,362,91,5075,215,219,139,218,0,37,1
3220,56,3,30,2,3083,222,232,146,2252,0,37,7
2729,84,22,162,73,175,245,197,70,1894,0,29,5
2931,96,23,446,-76,541,249,200,67,1884,0,29,5
3231,127,2,85,2,3389,223,237,150,1956,0,37,7
3250,86,23,182,47,4731,246,194,65,234,0,21,1
2912,107,26,511,-100,553,253,199,57,1820,0,29,5
3140,183,5,30,3,2224,221,243,157,2701,0,22,7
3201,95,17,0,0,2940,245,213,91,2442,0,28,7
2702,71,22,108,55,120,238,190,71,1723,0,29,5
2712,69,26,120,62,124,237,181,60,1663,0,29,5
2848,94,20,457,138,488,247,205,78,1597,0,29,5
2708,84,29,108,40,120,246,176,38,1549,0,29,5
2959,2,9,721,186,1008,208,224,153,2555,2,31,2
2885,61,27,384,103,1243,231,174,60,2100,2,32,2
2856,57,22,351,99,474,229,189,82,1383,0,29,5
3313,285,8,636,32,3645,198,240,182,1396,0,38,1
2849,100,20,277,82,484,248,209,80,1291,0,29,5
3077,123,5,30,-3,1959,228,236,142,2029,0,22,1
3313,326,3,175,40,3073,211,235,163,2258,0,38,7
2446,23,8,0,0,443,216,223,144,837,2,19,6
2047,31,21,216,54,272,210,190,109,277,3,4,3
3345,198,2,0,0,5114,218,240,158,871,0,38,1
2160,349,12,532,158,636,197,219,160,361,3,4,3
2743,270,1,127,2,240,216,238,160,1129,0,29,5
2598,274,24,210,80,1074,150,238,224,1706,2,32,6
3342,71,13,90,19,2902,234,214,110,2309,0,38,7
2008,226,32,30,12,108,161,250,210,295,3,4,3
2589,308,24,150,71,1116,146,217,207,1598,2,32,6
2552,11,15,0,0,1075,203,207,139,1492,2,19,6
2829,35,21,376,75,1651,212,188,103,1528,2,23,2
2161,113,32,458,142,524,254,188,34,390,3,0,3
2527,36,16,0,0,765,217,203,117,942,2,19,6
2890,315,7,342,91,1595,201,234,172,1869,2,12,2
2964,97,14,361,86,1704,242,219,104,2856,2,31,2
2194,170,24,300,175,481,229,242,130,175,3,4,3
2000,318,7,30,4,108,201,234,172,268,3,16,4
2510,323,21,30,12,1454,163,214,188,1752,2,9,6
2822,104,19,90,26,646,248,214,87,721,0,22,2
2223,287,6,301,26,30,202,240,177,361,3,1,3
2992,227,16,607,106,1434,195,253,192,1852,2,31,2
2006,73,11,0,0,170,233,218,115,319,3,16,4
3330,100,18,283,65,2531,247,212,87,2583,0,38,7
3377,257,5,150,27,2640,208,243,173,2396,0,38,7
2651,297,32,180,84,1260,115,211,227,837,2,32,6
3341,271,13,424,73,3167,184,244,199,1809,0,38,1
2616,343,21,60,3,1384,173,204,166,1790,2,12,6
2812,321,7,108,14,592,203,234,170,582,0,22,2
2725,60,20,124,31,1357,231,195,88,1050,2,32,2
2693,100,29,120,62,120,252,187,41,807,0,29,5
2032,120,33,190,79,228,254,193,38,459,3,0,3
2707,102,30,150,76,150,253,187,40,765,0,29,5
2035,323,23,95,32,150,154,209,191,716,3,9,3
2784,105,21,313,152,330,250,210,79,618,0,29,5
2541,330,11,0,0,1705,193,226,172,1473,2,19,6
1974,125,22,85,21,124,250,219,86,390,3,0,3
2548,318,18,0,0,1719,169,221,190,1456,2,12,6
3289,81,17,42,6,2280,241,207,90,2787,0,38,7
2583,298,31,67,42,1682,118,211,225,1492,2,12,6
2014,59,4,0,0,488,223,231,143,484,3,16,4
2801,153,12,342,3,450,234,240,135,474,0,29,5
2022,302,29,30,17,85,129,213,218,780,3,16,3
2027,349,4,0,0,454,213,233,158,592,3,16,3
2692,29,25,124,62,1277,202,177,100,706,2,32,6
2040,358,24,60,22,509,176,188,144,547,3,9,4
2912,252,10,210,26,1871,197,247,188,1687,2,22,5
2081,117,31,150,53,270,254,194,42,553,3,0,3
2734,34,28,201,104,1323,204,168,85,664,2,32,6
2044,92,15,30,8,480,242,215,98,658,3,0,4
3296,3,12,124,10,2089,204,217,150,2773,0,38,7
2745,320,25,67,2,1464,147,207,195,1784,2,12,6
1904,51,26,67,30,162,222,175,72,711,3,0,6
2949,308,6,216,22,2014,204,236,171,1940,2,31,2
2078,311,33,95,73,150,115,197,213,644,3,9,3
1983,334,33,210,134,180,128,177,177,779,3,4,6
2875,202,15,150,-10,1826,212,252,172,1482,2,32,5
2761,314,20,30,8,1506,163,220,195,1765,2,12,6
1928,252,31,30,14,180,138,243,233,765,3,0,6
2800,114,15,240,13,541,244,224,106,277,0,29,5
2828,31,32,534,239,1271,194,152,75,743,2,32,2
2122,341,23,175,117,234,165,198,168,564,3,9,3
2686,255,15,134,-8,1364,186,248,200,1146,2,22,5
2788,326,21,30,16,1530,164,212,186,1776,2,12,6
1964,233,31,90,42,240,153,249,218,787,3,0,6
2743,86,18,124,29,360,243,207,87,437,0,29,5
2809,118,5,335,86,1224,228,236,142,595,2,31,2
1903,67,16,108,36,120,234,207,100,969,3,2,3
2824,242,16,60,17,1842,188,251,199,1315,2,22,5
2116,260,25,192,102,258,151,244,226,499,3,9,3
2828,82,7,170,41,750,230,228,130,67,0,28,5
2695,269,10,30,0,1468,194,244,189,1065,2,22,5
2828,334,19,90,33,1560,175,212,175,1812,2,12,6
2906,104,19,242,79,1101,248,214,87,331,0,29,5
2721,280,11,0,0,1602,190,241,191,1072,2,22,5
2209,293,21,376,204,443,157,230,211,371,3,1,3
2071,43,28,390,204,390,213,167,73,992,3,4,3
2785,286,19,30,13,1832,163,236,211,1158,2,22,5
2832,339,20,162,37,1663,175,208,170,1712,2,12,6
1950,87,20,0,0,30,245,203,0,127,3,0,3
2896,125,21,218,69,1080,249,221,89,331,0,29,5
2798,274,19,60,26,1873,167,242,212,1148,2,22,5
2210,106,22,127,61,90,251,208,73,514,3,0,3
2121,85,23,247,91,361,246,194,66,335,3,0,3
2689,117,27,67,-33,247,254,204,60,543,0,29,5
2833,327,20,268,38,1789,169,214,183,1554,2,12,6
3131,70,17,573,-43,1113,236,205,96,994,0,29,2
2869,342,13,240,74,1681,193,220,166,1786,2,30,6
2790,74,10,30,-1,618,232,222,122,192,0,29,5
2871,356,15,272,76,1740,196,213,154,1723,2,30,6
2112,237,25,234,48,540,167,252,214,1065,3,0,6
2768,108,16,85,16,524,245,220,98,283,0,29,5
2126,344,17,153,30,323,183,211,164,382,3,9,6
1988,354,18,150,28,474,188,206,154,607,3,9,6
2736,122,22,90,-15,430,251,217,82,376,0,29,5
2067,181,27,30,12,876,217,244,142,335,3,0,4
2817,25,10,42,5,735,215,219,140,210,0,29,5
2718,129,25,120,-33,390,251,216,76,417,0,29,5
2054,176,7,0,0,895,224,244,154,323,3,16,4
2208,335,25,277,174,534,157,198,176,408,3,9,3
2973,80,14,30,11,1546,238,213,102,1950,2,31,2
2055,108,2,0,0,865,221,237,151,256,3,0,4
2048,284,4,30,2,792,209,240,169,636,3,16,4
2114,239,11,127,56,660,200,249,186,949,3,0,6
2660,238,26,42,12,1473,163,251,217,1291,2,3,6
2053,48,11,30,0,983,224,215,123,424,3,16,4
3010,124,27,485,233,888,253,209,65,949,0,29,2
2740,263,8,67,8,1910,201,244,182,824,2,30,5
2047,50,8,0,0,949,224,223,134,481,3,16,4
2055,323,32,30,23,404,124,189,196,395,3,9,6
2655,339,8,0,0,1441,203,228,164,1290,2,19,6
2047,25,11,0,0,918,215,216,137,540,3,16,4
2047,318,40,228,159,218,89,171,205,42,3,9,3
2845,166,15,234,22,750,232,244,139,433,0,29,5
2955,38,19,576,-11,752,217,196,108,481,2,32,2
2075,27,30,30,15,404,193,162,89,330,3,0,6
2726,301,11,42,-1,1883,189,235,186,685,2,30,5
2238,58,20,360,112,660,230,193,87,30,3,1,6
2099,68,34,85,47,1026,232,153,25,454,3,0,3
2809,141,22,247,-13,690,246,228,99,446,0,29,5
2192,33,23,360,142,421,209,183,101,240,3,9,6
3333,211,16,721,106,4155,205,253,179,1987,0,37,7
2759,17,25,212,108,1199,190,178,115,1087,2,32,2
2122,288,35,120,45,192,102,211,237,711,3,9,3
2032,303,44,153,136,182,65,175,228,175,3,9,3
2773,301,11,0,0,2164,189,235,186,811,2,30,5
2283,338,24,234,45,636,161,198,172,492,3,5,3
1962,87,20,124,50,124,245,203,79,541,3,2,3
2141,64,33,175,90,242,229,154,31,459,3,3,6
2137,97,27,335,196,351,251,190,49,424,3,0,3
3308,136,21,787,-39,1316,247,226,97,2607,0,38,1
2320,316,25,134,7,564,146,210,200,484,3,9,3
2163,33,33,313,105,800,194,151,72,888,3,9,6
2126,26,33,150,76,212,186,151,83,560,3,9,6
2011,67,37,153,103,190,228,141,12,524,3,0,3
2030,77,22,67,9,474,241,195,74,616,3,5,3
2947,253,9,0,0,1734,201,246,184,1434,2,18,5
2075,229,20,0,0,1026,187,254,199,295,3,16,4
2209,25,32,362,151,819,187,156,87,874,3,9,6
2972,264,2,30,2,1514,214,240,164,1660,2,18,5
2091,51,23,306,49,350,224,184,82,631,3,0,3
2728,165,18,134,22,450,233,243,133,677,0,29,5
2029,61,27,30,26,240,230,173,58,443,3,2,4
2052,55,27,150,37,484,224,170,62,576,3,5,3
2067,45,14,30,-4,1116,223,210,118,390,3,16,4
2281,325,19,234,128,631,171,217,184,408,3,5,3
2092,300,29,30,8,210,127,214,220,655,3,9,3
2079,102,35,67,35,313,252,170,14,351,3,2,4
2138,46,30,192,71,242,214,161,63,732,3,9,3
2258,298,21,258,92,1149,155,227,210,732,3,5,3
2110,334,19,216,106,362,173,211,176,541,3,9,3
3281,224,15,395,54,4054,200,253,187,2271,0,22,7
2333,273,27,90,43,845,139,236,230,631,3,5,3
2313,353,25,218,117,841,168,187,150,661,3,5,6
2981,40,14,90,14,228,220,208,119,480,2,30,2
2344,249,37,402,14,679,119,237,238,752,3,0,3
2248,36,34,330,197,552,197,146,61,300,3,9,3
2068,275,38,134,69,335,93,216,247,541,3,9,3
2084,275,8,30,0,1256,199,242,182,541,3,16,4
2183,100,32,180,132,484,252,178,27,212,3,2,4
3025,341,17,361,20,295,181,212,168,1273,2,23,2
2274,75,30,323,202,595,239,168,37,255,3,2,4
2114,34,34,268,105,443,194,147,66,446,3,5,3
2073,119,11,30,-1,1276,239,230,120,582,3,16,4
2254,96,33,283,182,600,251,174,24,212,3,2,4
2060,318,11,30,6,481,190,230,179,234,3,2,4
2340,212,15,342,83,816,205,253,180,633,3,5,3
2879,188,15,256,24,1061,220,250,159,1841,2,12,5
2073,72,2,0,0,1302,222,234,149,612,3,16,4
2364,86,32,362,74,743,246,168,25,351,3,2,4
2075,105,24,42,10,518,252,203,66,170,3,2,4
3247,36,4,417,20,4473,220,230,147,2223,0,37,7
2076,322,11,0,0,1329,193,229,176,641,3,16,4
2376,129,39,350,86,785,249,186,25,371,3,2,4
2183,98,38,175,111,604,249,158,0,108,3,2,4
2141,293,28,124,77,541,131,221,224,342,3,9,3
3252,340,6,300,25,4350,208,232,162,2297,0,37,7
2848,215,18,255,77,1026,200,254,185,1749,2,12,5
2078,326,9,0,0,1342,198,230,172,666,3,16,4
2372,213,21,319,82,849,196,254,187,424,3,5,4
2113,101,33,85,41,598,253,177,24,67,3,2,4
3252,2,8,335,25,4406,209,225,154,2301,0,37,7
2916,135,11,270,61,616,237,235,127,1064,2,31,5
2130,76,6,0,0,957,228,229,136,603,3,13,4
2343,233,12,283,49,1173,200,251,187,811,3,5,4
2354,126,22,247,60,1003,250,219,85,601,3,5,4
2241,128,34,268,150,732,252,197,42,212,3,2,4
2070,317,9,0,0,607,196,232,176,124,3,2,4
2796,278,18,272,121,2208,168,240,210,247,2,32,2
2739,86,7,0,0,993,231,228,130,1477,2,22,6
2336,200,8,324,42,1215,217,247,165,840,3,1,4
2346,224,28,342,52,912,171,252,205,450,3,5,4
2201,131,30,218,114,726,252,208,61,150,3,2,4
2317,192,10,150,60,1003,219,248,162,824,3,5,3
2913,173,17,210,58,511,228,246,143,1040,2,12,5
2148,358,24,60,18,942,175,187,143,631,3,9,3
2346,255,25,313,52,1158,154,246,225,751,3,5,4
2333,229,26,366,39,933,171,253,208,451,3,5,4
3235,199,24,330,20,1930,203,252,171,3503,0,28,1
2753,102,13,30,7,914,242,222,107,1456,2,22,5
2321,139,14,426,27,1323,240,235,122,932,3,1,4
2304,211,20,362,10,997,199,254,183,514,3,2,4
2167,129,26,153,76,765,252,214,73,134,3,2,4
2091,5,30,30,16,607,167,167,124,552,3,9,3
3256,73,16,182,29,4275,237,207,96,2458,0,37,7
2899,158,20,162,44,362,237,239,122,973,2,12,5
2241,333,27,180,129,741,149,195,179,297,3,9,3
2151,279,33,120,75,1463,113,223,239,830,3,9,3
2360,143,18,361,66,1149,243,233,111,696,3,5,4
2278,115,43,255,167,900,249,159,0,342,3,2,4
2078,85,13,0,0,735,238,218,109,108,3,2,4
2008,21,3,0,0,270,217,232,152,323,3,13,4
2885,153,18,124,30,350,239,238,122,1015,2,12,5
2267,335,27,212,155,738,149,192,176,234,3,9,3
2256,301,28,330,181,1505,132,215,217,926,3,9,3
2311,135,35,283,198,960,249,199,46,408,3,2,4
2080,62,8,0,0,765,227,223,130,134,3,3,4
2884,233,2,420,86,2045,215,241,163,808,2,30,5
2107,130,19,30,3,1350,247,226,100,895,3,0,4
2327,96,19,516,33,1398,247,209,84,972,3,1,4
2275,197,18,361,155,1082,212,252,168,560,3,2,4
2191,127,33,150,87,900,253,198,44,283,3,2,4
2323,334,15,301,113,932,185,219,173,845,3,5,3
1995,52,22,0,0,120,225,187,85,234,3,13,4
2848,170,32,85,25,564,224,233,115,1273,2,12,5
2113,11,17,0,0,1328,201,204,138,902,3,16,4
2333,172,24,454,39,1231,228,243,133,742,3,5,4
2294,153,32,258,174,1026,239,222,87,457,3,2,4
2110,138,28,30,10,864,249,217,76,201,3,2,4
2275,294,31,150,65,865,120,216,228,716,3,5,6
3229,30,8,42,5,4057,218,223,140,2656,0,38,7
2829,167,29,60,6,552,229,235,115,1294,2,12,5
2104,154,9,30,-1,1290,231,241,141,977,3,16,4
2295,95,21,537,1,1387,248,204,74,924,3,1,4
2271,207,33,277,151,1087,180,248,182,524,3,2,4
2100,6,19,0,0,849,194,201,141,228,3,3,4
2846,203,16,258,89,2230,210,253,173,644,2,32,5
2807,146,24,30,5,626,244,229,99,1379,2,12,5
2116,8,2,30,0,1266,217,235,155,1048,3,0,4
2346,181,10,488,270,1466,224,247,155,1048,3,1,4
2284,144,29,402,154,1230,246,220,80,702,3,2,4
