education,sex,hours-per-week,race,age,occupation,marital-status,education-num,fnlwgt,capital-loss,relationship,workclass,capital-gain,income
Assoc-acdm,Female,40,White,50,Sales,Divorced,12,313321,0,Not-in-family,Private,0,<=50K
Bachelors,Male,55,White,45,Prof-specialty,Married-civ-spouse,13,109434,0,Husband,Private,0,<=50K
10th,Male,40,White,25,Craft-repair,Never-married,6,255004,0,Not-in-family,Private,0,<=50K
Some-college,Male,40,White,31,Handlers-cleaners,Married-civ-spouse,10,197860,0,Husband,Private,0,<=50K
HS-grad,Male,40,Black,90,Other-service,Never-married,9,51744,2206,Not-in-family,Private,0,<=50K
HS-grad,Male,20,Black,54,Adm-clerical,Married-civ-spouse,9,176681,0,Husband,Private,0,<=50K
Preschool,Female,35,White,53,Machine-op-inspct,Never-married,1,140359,0,Not-in-family,Local-gov,0,<=50K
HS-grad,Female,40,White,18,Sales,Never-married,9,243313,0,Own-child,Private,0,<=50K
HS-grad,Male,50,White,66,Farming-fishing,Married-civ-spouse,9,167687,0,Husband,Self-emp-not-inc,1409,<=50K
HS-grad,Female,40,White,65,Adm-clerical,Divorced,9,176796,0,Not-in-family,Private,0,<=50K
11th,Male,40,Black,35,Transport-moving,Separated,7,538583,0,Not-in-family,Private,3674,<=50K
HS-grad,Female,38,Black,41,Sales,Divorced,9,130408,0,Unmarried,Private,0,<=50K
Some-college,Male,42,White,25,Adm-clerical,Never-married,10,159732,0,Not-in-family,Private,0,<=50K
Some-college,Female,40,Other,33,Craft-repair,Divorced,10,110978,0,Other-relative,Private,0,<=50K
Prof-school,Male,55,White,28,Prof-specialty,Never-married,15,76714,0,Not-in-family,Private,0,>50K
HS-grad,Male,40,White,59,Other-service,Married-civ-spouse,9,268700,0,Husband,State-gov,0,<=50K
Some-college,Female,38,White,40,Adm-clerical,Never-married,10,170525,0,Not-in-family,State-gov,0,<=50K
Masters,Male,70,White,38,Exec-managerial,Married-civ-spouse,14,115076,0,Husband,Local-gov,0,>50K
HS-grad,Male,40,White,23,Transport-moving,Never-married,9,115458,0,Own-child,Private,0,<=50K
Bachelors,Male,40,White,40,Prof-specialty,Married-civ-spouse,13,347890,0,Husband,Private,0,>50K
HS-grad,Female,20,White,41,Other-service,Married-civ-spouse,9,196001,0,Wife,Self-emp-not-inc,0,<=50K
Assoc-acdm,Male,50,White,24,Protective-serv,Married-civ-spouse,12,273905,0,Husband,State-gov,0,<=50K
Some-college,Male,40,White,38,Craft-repair,Divorced,10,179488,1741,Not-in-family,Private,0,<=50K
HS-grad,Male,45,White,58,Adm-clerical,Married-civ-spouse,9,236596,0,Husband,Private,0,>50K
HS-grad,Female,34,White,32,Other-service,Never-married,9,183916,0,Not-in-family,Private,0,<=50K
Assoc-acdm,Male,60,White,40,Tech-support,Married-civ-spouse,12,207578,1977,Husband,Private,0,>50K
Prof-school,Female,40,White,41,Prof-specialty,Married-civ-spouse,15,112763,0,Wife,Private,0,>50K
Bachelors,Female,40,Black,42,Adm-clerical,Married-civ-spouse,13,390781,0,Wife,Private,0,<=50K
10th,Female,30,Black,59,Other-service,Widowed,6,171328,0,Unmarried,Local-gov,0,<=50K
Some-college,Male,40,White,19,Adm-clerical,Never-married,10,27382,0,Own-child,Local-gov,0,<=50K
Some-college,Male,20,White,58,Transport-moving,Never-married,10,259014,0,Not-in-family,Private,0,<=50K
HS-grad,Female,40,White,20,Other-service,Never-married,9,117789,0,Own-child,Private,0,<=50K
HS-grad,Female,30,White,32,Other-service,Separated,9,172579,0,Not-in-family,Private,0,<=50K
Assoc-voc,Female,45,White,45,Exec-managerial,Widowed,11,187666,0,Not-in-family,Private,0,<=50K
7th-8th,Male,40,White,50,Craft-repair,Divorced,4,204518,0,Not-in-family,Private,0,<=50K
Bachelors,Female,40,White,36,Prof-specialty,Divorced,13,150042,0,Own-child,Private,0,<=50K
HS-grad,Male,60,White,45,Sales,Married-civ-spouse,9,98092,0,Husband,Private,0,<=50K
11th,Male,12,White,17,Other-service,Never-married,7,245918,0,Own-child,Private,0,<=50K
Some-college,Male,40,White,59,Sales,Married-civ-spouse,10,146013,0,Husband,Private,4064,<=50K
11th,Male,40,White,26,Craft-repair,Married-civ-spouse,7,378322,0,Husband,Private,0,<=50K
HS-grad,Male,40,White,64,Exec-managerial,Married-civ-spouse,9,21174,0,Husband,Private,0,>50K
Bachelors,Female,45,White,33,Prof-specialty,Never-married,13,185480,0,Not-in-family,Private,0,<=50K
HS-grad,Female,40,White,33,Craft-repair,Married-civ-spouse,9,222205,0,Wife,Private,0,>50K
HS-grad,Male,40,White,61,Exec-managerial,Married-civ-spouse,9,69867,0,Husband,Private,0,>50K
9th,Male,24,White,17,Other-service,Never-married,5,191260,0,Own-child,Private,1055,<=50K
Masters,Male,98,White,50,Farming-fishing,Married-civ-spouse,14,30653,0,Husband,Self-emp-not-inc,2407,<=50K
Masters,Male,35,White,27,Prof-specialty,Never-married,14,209109,0,Own-child,Local-gov,0,<=50K
HS-grad,Female,40,White,30,Prof-specialty,Divorced,9,70377,0,Own-child,Private,0,<=50K
HS-grad,Male,40,Black,43,Handlers-cleaners,Married-civ-spouse,9,477983,0,Husband,Private,0,<=50K
Some-college,Male,40,White,44,Craft-repair,Married-civ-spouse,10,170924,0,Husband,Private,7298,>50K
Some-college,Female,40,White,35,Exec-managerial,Never-married,10,190174,0,Not-in-family,Private,0,<=50K
Some-college,Female,40,White,25,Tech-support,Never-married,10,193787,0,Own-child,Private,0,<=50K
Some-college,Female,48,White,24,Machine-op-inspct,Married-civ-spouse,10,279472,0,Wife,Private,7298,>50K
Some-college,Male,40,White,42,Craft-repair,Married-civ-spouse,10,97688,0,Husband,Local-gov,5178,>50K
Assoc-acdm,Female,45,Black,34,Sales,Divorced,12,175413,0,Unmarried,Private,0,<=50K
Bachelors,Female,42,White,60,Prof-specialty,Divorced,13,173960,0,Not-in-family,Private,0,<=50K
HS-grad,Male,40,White,21,Handlers-cleaners,Never-married,9,205759,0,Own-child,Private,0,<=50K
Masters,Male,40,White,57,Sales,Married-civ-spouse,14,425161,0,Husband,Federal-gov,15024,>50K
Prof-school,Male,60,White,41,Prof-specialty,Married-civ-spouse,15,220531,0,Husband,Private,0,>50K
Some-college,Male,45,White,50,Other-service,Divorced,10,176609,0,Not-in-family,Private,0,<=50K
Bachelors,Female,40,White,25,Exec-managerial,Never-married,13,371987,0,Not-in-family,Private,0,<=50K
Bachelors,Male,45,White,36,Prof-specialty,Married-civ-spouse,13,200352,0,Husband,Private,0,<=50K
HS-grad,Female,40,White,31,Prof-specialty,Divorced,9,127595,0,Not-in-family,Private,0,<=50K
Bachelors,Male,56,White,29,Protective-serv,Never-married,13,220419,0,Not-in-family,Local-gov,0,<=50K
Some-college,Male,45,White,21,Sales,Never-married,10,231931,0,Own-child,Private,0,<=50K
Bachelors,Female,40,Black,27,Tech-support,Never-married,13,248402,0,Unmarried,Private,0,<=50K
HS-grad,Male,16,White,65,Transport-moving,Married-civ-spouse,9,111095,0,Husband,Private,0,<=50K
Bachelors,Female,60,White,37,Sales,Divorced,13,57424,0,Not-in-family,Self-emp-inc,0,<=50K
HS-grad,Male,40,White,24,Craft-repair,Never-married,9,278130,0,Own-child,Private,0,<=50K
HS-grad,Male,80,White,38,Sales,Divorced,9,169469,0,Not-in-family,Private,0,<=50K
Bachelors,Male,40,White,48,Adm-clerical,Married-civ-spouse,13,146268,0,Husband,Private,7688,>50K
Some-college,Female,25,Asian-Pac-Islander,21,Other-service,Never-married,10,153718,0,Not-in-family,Private,0,<=50K
HS-grad,Male,45,White,31,Transport-moving,Married-civ-spouse,9,217460,0,Husband,Private,0,>50K
HS-grad,Male,40,White,55,Sales,Married-civ-spouse,9,238638,0,Husband,Private,4386,>50K
HS-grad,Female,40,White,43,Adm-clerical,Divorced,9,173321,0,Not-in-family,Private,0,<=50K
Assoc-acdm,Male,45,White,26,Tech-support,Never-married,12,193945,0,Not-in-family,Private,0,<=50K
Assoc-acdm,Female,33,White,46,Prof-specialty,Never-married,12,83082,0,Not-in-family,Private,0,<=50K
Assoc-acdm,Male,40,White,35,Adm-clerical,Married-civ-spouse,12,193815,0,Husband,Private,0,>50K
Some-college,Male,54,White,41,Farming-fishing,Married-civ-spouse,10,34987,0,Husband,Self-emp-inc,0,>50K
Bachelors,Male,40,White,26,Sales,Never-married,13,59306,0,Not-in-family,Private,0,<=50K
Bachelors,Female,40,Black,36,Prof-specialty,Divorced,13,205607,0,Not-in-family,Self-emp-not-inc,0,>50K
Some-college,Male,15,White,22,Sales,Never-married,10,199698,0,Own-child,Private,0,<=50K
Some-college,Male,40,White,24,Machine-op-inspct,Never-married,10,191954,0,Not-in-family,Private,0,<=50K
